          3.430      -Infinity      -Infinity
          6.860          0.000          0.000
         10.290       4836.856       3420.174
         13.720       5086.254       3596.525
         17.150       5085.005       3595.642
         20.580       5084.036       3594.956
         24.010       5083.244       3594.396
         27.440       5082.575       3593.923
         30.870       5081.995       3593.513
         34.300       5081.483       3593.151
         37.730       5081.026       3592.828
         41.160       5080.612       3592.535
         44.590       5080.234       3592.268
         48.020       5079.886       3592.022
         51.450       5079.564       3591.794
         54.880       5079.265       3591.583
         58.310       5078.984       3591.384
         61.740       5078.721       3591.198
         65.170       5078.473       3591.023
         68.600       5078.238       3590.857
         72.030       5078.015       3590.699
         75.460       5077.803       3590.549
         78.890       5077.601       3590.406
         82.320       5077.408       3590.270
         85.750       5077.223       3590.139
         89.180       5077.046       3590.014
         92.610       5076.876       3589.893
         96.040       5076.712       3589.777
         99.470       5076.554       3589.666
        102.900       5076.402       3589.558
        106.330       5076.254       3589.454
        109.760       5076.112       3589.353
        113.190       5075.974       3589.256
        116.620       5075.840       3589.161
        120.050       5075.711       3589.070
        123.480       5075.585       3588.981
        126.910       5075.463       3588.894
        130.340       5075.344       3588.810
        133.770       5075.228       3588.728
        137.200       5075.115       3588.648
        140.630       5075.005       3588.570
        144.060       5074.898       3588.495
        147.490       5074.793       3588.421
        150.920       5074.691       3588.348
        154.350       5074.591       3588.278
        157.780       5074.493       3588.209
        161.210       5074.398       3588.141
        164.640       5074.305       3588.075
        168.070       5074.213       3588.011
        171.500       5074.124       3587.947
        174.930       5074.036       3587.885
        178.360       5073.950       3587.824
        181.790       5073.865       3587.765
        185.220       5073.783       3587.706
        188.650       5073.702       3587.649
        192.080       5073.622       3587.593
        195.510       5073.544       3587.537
        198.940       5073.467       3587.483
        202.370       5073.391       3587.429
        205.800       5073.317       3587.377
        209.230       5073.244       3587.325
        212.660       5073.172       3587.275
        216.090       5073.102       3587.225
        219.520       5073.032       3587.175
        222.950       5072.964       3587.127
        226.380       5072.896       3587.080
        229.810       5072.830       3587.033
        233.240       5072.765       3586.986
        236.670       5072.700       3586.941
        240.100       5072.637       3586.896
        243.530       5072.575       3586.852
        246.960       5072.513       3586.808
        250.390       5072.452       3586.765
        253.820       5072.392       3586.723
        257.250       5072.333       3586.681
        260.680       5072.275       3586.640
        264.110       5072.217       3586.599
        267.540       5072.161       3586.559
        270.970       5072.105       3586.520
        274.400       5072.049       3586.480
        277.830       5071.995       3586.442
        281.260       5071.941       3586.404
        284.690       5071.887       3586.366
        288.120       5071.835       3586.329
        291.550       5071.783       3586.292
        294.980       5071.731       3586.256
        298.410       5071.681       3586.220
        301.840       5071.630       3586.184
        305.270       5071.581       3586.149
        308.700       5071.532       3586.114
        312.130       5071.483       3586.080
        315.560       5071.435       3586.046
        318.990       5071.388       3586.013
        322.420       5071.341       3585.979
        325.850       5071.294       3585.947
        329.280       5071.248       3585.914
        332.710       5071.203       3585.882
        336.140       5071.158       3585.850
        339.570       5071.113       3585.819
        343.000       5071.069       3585.787
        346.430       5071.026       3585.757
        349.860       5070.982       3585.726
        353.290       5070.940       3585.696
        356.720       5070.897       3585.666
        360.150       5070.855       3585.636
        363.580       5070.814       3585.607
        367.010       5070.772       3585.578
        370.440       5070.732       3585.549
        373.870       5070.691       3585.520
        377.300       5070.651       3585.492
        380.730       5070.612       3585.464
        384.160       5070.572       3585.436
        387.590       5070.533       3585.409
        391.020       5070.495       3585.381
        394.450       5070.456       3585.354
        397.880       5070.419       3585.327
        401.310       5070.381       3585.301
        404.740       5070.344       3585.274
        408.170       5070.307       3585.248
        411.600       5070.270       3585.222
        415.030       5070.234       3585.197
        418.460       5070.198       3585.171
        421.890       5070.162       3585.146
        425.320       5070.126       3585.121
        428.750       5070.091       3585.096
        432.180       5070.056       3585.071
        435.610       5070.022       3585.047
        439.040       5069.987       3585.023
        442.470       5069.953       3584.999
        445.900       5069.920       3584.975
        449.330       5069.886       3584.951
        452.760       5069.853       3584.927
        456.190       5069.820       3584.904
        459.620       5069.787       3584.881
        463.050       5069.754       3584.858
        466.480       5069.722       3584.835
        469.910       5069.690       3584.812
        473.340       5069.658       3584.790
        476.770       5069.627       3584.768
        480.200       5069.595       3584.745
        483.630       5069.564       3584.723
        487.060       5069.533       3584.701
        490.490       5069.503       3584.680
        493.920       5069.472       3584.658
        497.350       5069.442       3584.637
        500.780       5069.412       3584.616
        504.210       5069.382       3584.594
        507.640       5069.352       3584.573
        511.070       5069.323       3584.553
        514.500       5069.294       3584.532
        517.930       5069.265       3584.511
        521.360       5069.236       3584.491
        524.790       5069.207       3584.471
        528.220       5069.179       3584.451
        531.650       5069.150       3584.431
        535.080       5069.122       3584.411
        538.510       5069.094       3584.391
        541.940       5069.067       3584.371
        545.370       5069.039       3584.352
        548.800       5069.012       3584.333
        552.230       5068.984       3584.313
        555.660       5068.957       3584.294
        559.090       5068.930       3584.275
        562.520       5068.904       3584.256
        565.950       5068.877       3584.237
        569.380       5068.851       3584.219
        572.810       5068.824       3584.200
        576.240       5068.798       3584.182
        579.670       5068.772       3584.163
        583.100       5068.747       3584.145
