          3.430      -Infinity      -Infinity
          6.860      -6244.611      -4415.607
         10.290      -1575.971      -1114.380
         13.720       3093.657       2187.546
         17.150            NaN            NaN
         20.580            NaN            NaN
         24.010            NaN            NaN
         27.440            NaN            NaN
         30.870            NaN            NaN
         34.300            NaN            NaN
         37.730            NaN            NaN
         41.160            NaN            NaN
         44.590            NaN            NaN
         48.020            NaN            NaN
         51.450            NaN            NaN
         54.880            NaN            NaN
         58.310            NaN            NaN
         61.740            NaN            NaN
         65.170            NaN            NaN
         68.600            NaN            NaN
         72.030            NaN            NaN
         75.460            NaN            NaN
         78.890            NaN            NaN
         82.320            NaN            NaN
         85.750            NaN            NaN
         89.180            NaN            NaN
         92.610            NaN            NaN
         96.040            NaN            NaN
         99.470            NaN            NaN
        102.900            NaN            NaN
        106.330            NaN            NaN
        109.760            NaN            NaN
        113.190            NaN            NaN
        116.620            NaN            NaN
        120.050            NaN            NaN
        123.480            NaN            NaN
        126.910            NaN            NaN
        130.340            NaN            NaN
        133.770            NaN            NaN
        137.200            NaN            NaN
        140.630            NaN            NaN
        144.060            NaN            NaN
        147.490            NaN            NaN
        150.920            NaN            NaN
        154.350            NaN            NaN
        157.780            NaN            NaN
        161.210            NaN            NaN
        164.640            NaN            NaN
        168.070            NaN            NaN
        171.500            NaN            NaN
        174.930            NaN            NaN
        178.360            NaN            NaN
        181.790            NaN            NaN
        185.220            NaN            NaN
        188.650            NaN            NaN
        192.080            NaN            NaN
        195.510            NaN            NaN
        198.940            NaN            NaN
        202.370            NaN            NaN
        205.800            NaN            NaN
        209.230            NaN            NaN
        212.660            NaN            NaN
        216.090            NaN            NaN
        219.520            NaN            NaN
        222.950            NaN            NaN
        226.380            NaN            NaN
        229.810            NaN            NaN
        233.240            NaN            NaN
        236.670            NaN            NaN
        240.100            NaN            NaN
        243.530            NaN            NaN
        246.960            NaN            NaN
        250.390            NaN            NaN
        253.820            NaN            NaN
        257.250            NaN            NaN
        260.680            NaN            NaN
        264.110            NaN            NaN
        267.540            NaN            NaN
        270.970            NaN            NaN
        274.400            NaN            NaN
        277.830            NaN            NaN
        281.260            NaN            NaN
        284.690            NaN            NaN
        288.120            NaN            NaN
        291.550            NaN            NaN
        294.980            NaN            NaN
        298.410            NaN            NaN
        301.840            NaN            NaN
        305.270            NaN            NaN
        308.700            NaN            NaN
        312.130            NaN            NaN
        315.560            NaN            NaN
        318.990            NaN            NaN
        322.420            NaN            NaN
        325.850            NaN            NaN
        329.280            NaN            NaN
        332.710            NaN            NaN
        336.140            NaN            NaN
        339.570            NaN            NaN
        343.000            NaN            NaN
        346.430            NaN            NaN
        349.860            NaN            NaN
        353.290            NaN            NaN
        356.720            NaN            NaN
        360.150            NaN            NaN
        363.580            NaN            NaN
        367.010            NaN            NaN
        370.440            NaN            NaN
        373.870            NaN            NaN
        377.300            NaN            NaN
        380.730            NaN            NaN
        384.160            NaN            NaN
        387.590            NaN            NaN
        391.020            NaN            NaN
        394.450            NaN            NaN
        397.880            NaN            NaN
        401.310            NaN            NaN
        404.740            NaN            NaN
        408.170            NaN            NaN
        411.600            NaN            NaN
        415.030            NaN            NaN
        418.460            NaN            NaN
        421.890            NaN            NaN
        425.320            NaN            NaN
        428.750            NaN            NaN
        432.180            NaN            NaN
        435.610            NaN            NaN
        439.040            NaN            NaN
        442.470            NaN            NaN
        445.900            NaN            NaN
        449.330            NaN            NaN
        452.760            NaN            NaN
        456.190            NaN            NaN
        459.620            NaN            NaN
        463.050            NaN            NaN
        466.480            NaN            NaN
        469.910            NaN            NaN
        473.340            NaN            NaN
        476.770            NaN            NaN
        480.200            NaN            NaN
        483.630            NaN            NaN
        487.060            NaN            NaN
        490.490            NaN            NaN
        493.920            NaN            NaN
        497.350            NaN            NaN
        500.780            NaN            NaN
        504.210            NaN            NaN
        507.640            NaN            NaN
        511.070            NaN            NaN
        514.500            NaN            NaN
        517.930            NaN            NaN
        521.360            NaN            NaN
        524.790            NaN            NaN
        528.220            NaN            NaN
        531.650            NaN            NaN
