1.+1.i    1.+2.i    1.+3.i    1.+4.i    1.+5.i    1.+6.i    1.+7.i    1.+8.i    1.+9.i    1.+10.i    1.+11.i    1.+12.i    1.+13.i    1.+14.i    1.+15.i    1.+16.i    1.+17.i    1.+18.i    1.+19.i    1.+20.i    1.+21.i    1.+22.i    1.+23.i    1.+24.i    1.+25.i    1.+26.i    1.+27.i    1.+28.i    1.+29.i    1.+30.i    1.+31.i    1.+32.i    1.+33.i    1.+34.i    1.+35.i    1.+36.i    1.+37.i    1.+38.i    1.+39.i    1.+40.i    1.+41.i    1.+42.i    1.+43.i    1.+44.i    1.+45.i    1.+46.i    1.+47.i    1.+48.i    1.+49.i    1.+50.i    1.+51.i    1.+52.i    1.+53.i    1.+54.i    1.+55.i    1.+56.i    1.+57.i    1.+58.i    1.+59.i    1.+60.i    1.+61.i    1.+62.i    1.+63.i    1.+64.i    1.+65.i    1.+66.i    1.+67.i    1.+68.i    1.+69.i    1.+70.i    1.+71.i    1.+72.i    1.+73.i    1.+74.i    1.+75.i    1.+76.i    1.+77.i    1.+78.i    1.+79.i    1.+80.i    1.+81.i    1.+82.i    1.+83.i    1.+84.i    1.+85.i    1.+86.i    1.+87.i    1.+88.i    1.+89.i    1.+90.i    1.+91.i    1.+92.i    1.+93.i    1.+94.i    1.+95.i    1.+96.i    1.+97.i    1.+98.i    1.+99.i    1.+100.i
2.+1.i    2.+2.i    2.+3.i    2.+4.i    2.+5.i    2.+6.i    2.+7.i    2.+8.i    2.+9.i    2.+10.i    2.+11.i    2.+12.i    2.+13.i    2.+14.i    2.+15.i    2.+16.i    2.+17.i    2.+18.i    2.+19.i    2.+20.i    2.+21.i    2.+22.i    2.+23.i    2.+24.i    2.+25.i    2.+26.i    2.+27.i    2.+28.i    2.+29.i    2.+30.i    2.+31.i    2.+32.i    2.+33.i    2.+34.i    2.+35.i    2.+36.i    2.+37.i    2.+38.i    2.+39.i    2.+40.i    2.+41.i    2.+42.i    2.+43.i    2.+44.i    2.+45.i    2.+46.i    2.+47.i    2.+48.i    2.+49.i    2.+50.i    2.+51.i    2.+52.i    2.+53.i    2.+54.i    2.+55.i    2.+56.i    2.+57.i    2.+58.i    2.+59.i    2.+60.i    2.+61.i    2.+62.i    2.+63.i    2.+64.i    2.+65.i    2.+66.i    2.+67.i    2.+68.i    2.+69.i    2.+70.i    2.+71.i    2.+72.i    2.+73.i    2.+74.i    2.+75.i    2.+76.i    2.+77.i    2.+78.i    2.+79.i    2.+80.i    2.+81.i    2.+82.i    2.+83.i    2.+84.i    2.+85.i    2.+86.i    2.+87.i    2.+88.i    2.+89.i    2.+90.i    2.+91.i    2.+92.i    2.+93.i    2.+94.i    2.+95.i    2.+96.i    2.+97.i    2.+98.i    2.+99.i    2.+100.i
3.+1.i    3.+2.i    3.+3.i    3.+4.i    3.+5.i    3.+6.i    3.+7.i    3.+8.i    3.+9.i    3.+10.i    3.+11.i    3.+12.i    3.+13.i    3.+14.i    3.+15.i    3.+16.i    3.+17.i    3.+18.i    3.+19.i    3.+20.i    3.+21.i    3.+22.i    3.+23.i    3.+24.i    3.+25.i    3.+26.i    3.+27.i    3.+28.i    3.+29.i    3.+30.i    3.+31.i    3.+32.i    3.+33.i    3.+34.i    3.+35.i    3.+36.i    3.+37.i    3.+38.i    3.+39.i    3.+40.i    3.+41.i    3.+42.i    3.+43.i    3.+44.i    3.+45.i    3.+46.i    3.+47.i    3.+48.i    3.+49.i    3.+50.i    3.+51.i    3.+52.i    3.+53.i    3.+54.i    3.+55.i    3.+56.i    3.+57.i    3.+58.i    3.+59.i    3.+60.i    3.+61.i    3.+62.i    3.+63.i    3.+64.i    3.+65.i    3.+66.i    3.+67.i    3.+68.i    3.+69.i    3.+70.i    3.+71.i    3.+72.i    3.+73.i    3.+74.i    3.+75.i    3.+76.i    3.+77.i    3.+78.i    3.+79.i    3.+80.i    3.+81.i    3.+82.i    3.+83.i    3.+84.i    3.+85.i    3.+86.i    3.+87.i    3.+88.i    3.+89.i    3.+90.i    3.+91.i    3.+92.i    3.+93.i    3.+94.i    3.+95.i    3.+96.i    3.+97.i    3.+98.i    3.+99.i    3.+100.i
4.+1.i    4.+2.i    4.+3.i    4.+4.i    4.+5.i    4.+6.i    4.+7.i    4.+8.i    4.+9.i    4.+10.i    4.+11.i    4.+12.i    4.+13.i    4.+14.i    4.+15.i    4.+16.i    4.+17.i    4.+18.i    4.+19.i    4.+20.i    4.+21.i    4.+22.i    4.+23.i    4.+24.i    4.+25.i    4.+26.i    4.+27.i    4.+28.i    4.+29.i    4.+30.i    4.+31.i    4.+32.i    4.+33.i    4.+34.i    4.+35.i    4.+36.i    4.+37.i    4.+38.i    4.+39.i    4.+40.i    4.+41.i    4.+42.i    4.+43.i    4.+44.i    4.+45.i    4.+46.i    4.+47.i    4.+48.i    4.+49.i    4.+50.i    4.+51.i    4.+52.i    4.+53.i    4.+54.i    4.+55.i    4.+56.i    4.+57.i    4.+58.i    4.+59.i    4.+60.i    4.+61.i    4.+62.i    4.+63.i    4.+64.i    4.+65.i    4.+66.i    4.+67.i    4.+68.i    4.+69.i    4.+70.i    4.+71.i    4.+72.i    4.+73.i    4.+74.i    4.+75.i    4.+76.i    4.+77.i    4.+78.i    4.+79.i    4.+80.i    4.+81.i    4.+82.i    4.+83.i    4.+84.i    4.+85.i    4.+86.i    4.+87.i    4.+88.i    4.+89.i    4.+90.i    4.+91.i    4.+92.i    4.+93.i    4.+94.i    4.+95.i    4.+96.i    4.+97.i    4.+98.i    4.+99.i    4.+100.i
5.+1.i    5.+2.i    5.+3.i    5.+4.i    5.+5.i    5.+6.i    5.+7.i    5.+8.i    5.+9.i    5.+10.i    5.+11.i    5.+12.i    5.+13.i    5.+14.i    5.+15.i    5.+16.i    5.+17.i    5.+18.i    5.+19.i    5.+20.i    5.+21.i    5.+22.i    5.+23.i    5.+24.i    5.+25.i    5.+26.i    5.+27.i    5.+28.i    5.+29.i    5.+30.i    5.+31.i    5.+32.i    5.+33.i    5.+34.i    5.+35.i    5.+36.i    5.+37.i    5.+38.i    5.+39.i    5.+40.i    5.+41.i    5.+42.i    5.+43.i    5.+44.i    5.+45.i    5.+46.i    5.+47.i    5.+48.i    5.+49.i    5.+50.i    5.+51.i    5.+52.i    5.+53.i    5.+54.i    5.+55.i    5.+56.i    5.+57.i    5.+58.i    5.+59.i    5.+60.i    5.+61.i    5.+62.i    5.+63.i    5.+64.i    5.+65.i    5.+66.i    5.+67.i    5.+68.i    5.+69.i    5.+70.i    5.+71.i    5.+72.i    5.+73.i    5.+74.i    5.+75.i    5.+76.i    5.+77.i    5.+78.i    5.+79.i    5.+80.i    5.+81.i    5.+82.i    5.+83.i    5.+84.i    5.+85.i    5.+86.i    5.+87.i    5.+88.i    5.+89.i    5.+90.i    5.+91.i    5.+92.i    5.+93.i    5.+94.i    5.+95.i    5.+96.i    5.+97.i    5.+98.i    5.+99.i    5.+100.i
6.+1.i    6.+2.i    6.+3.i    6.+4.i    6.+5.i    6.+6.i    6.+7.i    6.+8.i    6.+9.i    6.+10.i    6.+11.i    6.+12.i    6.+13.i    6.+14.i    6.+15.i    6.+16.i    6.+17.i    6.+18.i    6.+19.i    6.+20.i    6.+21.i    6.+22.i    6.+23.i    6.+24.i    6.+25.i    6.+26.i    6.+27.i    6.+28.i    6.+29.i    6.+30.i    6.+31.i    6.+32.i    6.+33.i    6.+34.i    6.+35.i    6.+36.i    6.+37.i    6.+38.i    6.+39.i    6.+40.i    6.+41.i    6.+42.i    6.+43.i    6.+44.i    6.+45.i    6.+46.i    6.+47.i    6.+48.i    6.+49.i    6.+50.i    6.+51.i    6.+52.i    6.+53.i    6.+54.i    6.+55.i    6.+56.i    6.+57.i    6.+58.i    6.+59.i    6.+60.i    6.+61.i    6.+62.i    6.+63.i    6.+64.i    6.+65.i    6.+66.i    6.+67.i    6.+68.i    6.+69.i    6.+70.i    6.+71.i    6.+72.i    6.+73.i    6.+74.i    6.+75.i    6.+76.i    6.+77.i    6.+78.i    6.+79.i    6.+80.i    6.+81.i    6.+82.i    6.+83.i    6.+84.i    6.+85.i    6.+86.i    6.+87.i    6.+88.i    6.+89.i    6.+90.i    6.+91.i    6.+92.i    6.+93.i    6.+94.i    6.+95.i    6.+96.i    6.+97.i    6.+98.i    6.+99.i    6.+100.i
7.+1.i    7.+2.i    7.+3.i    7.+4.i    7.+5.i    7.+6.i    7.+7.i    7.+8.i    7.+9.i    7.+10.i    7.+11.i    7.+12.i    7.+13.i    7.+14.i    7.+15.i    7.+16.i    7.+17.i    7.+18.i    7.+19.i    7.+20.i    7.+21.i    7.+22.i    7.+23.i    7.+24.i    7.+25.i    7.+26.i    7.+27.i    7.+28.i    7.+29.i    7.+30.i    7.+31.i    7.+32.i    7.+33.i    7.+34.i    7.+35.i    7.+36.i    7.+37.i    7.+38.i    7.+39.i    7.+40.i    7.+41.i    7.+42.i    7.+43.i    7.+44.i    7.+45.i    7.+46.i    7.+47.i    7.+48.i    7.+49.i    7.+50.i    7.+51.i    7.+52.i    7.+53.i    7.+54.i    7.+55.i    7.+56.i    7.+57.i    7.+58.i    7.+59.i    7.+60.i    7.+61.i    7.+62.i    7.+63.i    7.+64.i    7.+65.i    7.+66.i    7.+67.i    7.+68.i    7.+69.i    7.+70.i    7.+71.i    7.+72.i    7.+73.i    7.+74.i    7.+75.i    7.+76.i    7.+77.i    7.+78.i    7.+79.i    7.+80.i    7.+81.i    7.+82.i    7.+83.i    7.+84.i    7.+85.i    7.+86.i    7.+87.i    7.+88.i    7.+89.i    7.+90.i    7.+91.i    7.+92.i    7.+93.i    7.+94.i    7.+95.i    7.+96.i    7.+97.i    7.+98.i    7.+99.i    7.+100.i
8.+1.i    8.+2.i    8.+3.i    8.+4.i    8.+5.i    8.+6.i    8.+7.i    8.+8.i    8.+9.i    8.+10.i    8.+11.i    8.+12.i    8.+13.i    8.+14.i    8.+15.i    8.+16.i    8.+17.i    8.+18.i    8.+19.i    8.+20.i    8.+21.i    8.+22.i    8.+23.i    8.+24.i    8.+25.i    8.+26.i    8.+27.i    8.+28.i    8.+29.i    8.+30.i    8.+31.i    8.+32.i    8.+33.i    8.+34.i    8.+35.i    8.+36.i    8.+37.i    8.+38.i    8.+39.i    8.+40.i    8.+41.i    8.+42.i    8.+43.i    8.+44.i    8.+45.i    8.+46.i    8.+47.i    8.+48.i    8.+49.i    8.+50.i    8.+51.i    8.+52.i    8.+53.i    8.+54.i    8.+55.i    8.+56.i    8.+57.i    8.+58.i    8.+59.i    8.+60.i    8.+61.i    8.+62.i    8.+63.i    8.+64.i    8.+65.i    8.+66.i    8.+67.i    8.+68.i    8.+69.i    8.+70.i    8.+71.i    8.+72.i    8.+73.i    8.+74.i    8.+75.i    8.+76.i    8.+77.i    8.+78.i    8.+79.i    8.+80.i    8.+81.i    8.+82.i    8.+83.i    8.+84.i    8.+85.i    8.+86.i    8.+87.i    8.+88.i    8.+89.i    8.+90.i    8.+91.i    8.+92.i    8.+93.i    8.+94.i    8.+95.i    8.+96.i    8.+97.i    8.+98.i    8.+99.i    8.+100.i
9.+1.i    9.+2.i    9.+3.i    9.+4.i    9.+5.i    9.+6.i    9.+7.i    9.+8.i    9.+9.i    9.+10.i    9.+11.i    9.+12.i    9.+13.i    9.+14.i    9.+15.i    9.+16.i    9.+17.i    9.+18.i    9.+19.i    9.+20.i    9.+21.i    9.+22.i    9.+23.i    9.+24.i    9.+25.i    9.+26.i    9.+27.i    9.+28.i    9.+29.i    9.+30.i    9.+31.i    9.+32.i    9.+33.i    9.+34.i    9.+35.i    9.+36.i    9.+37.i    9.+38.i    9.+39.i    9.+40.i    9.+41.i    9.+42.i    9.+43.i    9.+44.i    9.+45.i    9.+46.i    9.+47.i    9.+48.i    9.+49.i    9.+50.i    9.+51.i    9.+52.i    9.+53.i    9.+54.i    9.+55.i    9.+56.i    9.+57.i    9.+58.i    9.+59.i    9.+60.i    9.+61.i    9.+62.i    9.+63.i    9.+64.i    9.+65.i    9.+66.i    9.+67.i    9.+68.i    9.+69.i    9.+70.i    9.+71.i    9.+72.i    9.+73.i    9.+74.i    9.+75.i    9.+76.i    9.+77.i    9.+78.i    9.+79.i    9.+80.i    9.+81.i    9.+82.i    9.+83.i    9.+84.i    9.+85.i    9.+86.i    9.+87.i    9.+88.i    9.+89.i    9.+90.i    9.+91.i    9.+92.i    9.+93.i    9.+94.i    9.+95.i    9.+96.i    9.+97.i    9.+98.i    9.+99.i    9.+100.i
10.+1.i    10.+2.i    10.+3.i    10.+4.i    10.+5.i    10.+6.i    10.+7.i    10.+8.i    10.+9.i    10.+10.i    10.+11.i    10.+12.i    10.+13.i    10.+14.i    10.+15.i    10.+16.i    10.+17.i    10.+18.i    10.+19.i    10.+20.i    10.+21.i    10.+22.i    10.+23.i    10.+24.i    10.+25.i    10.+26.i    10.+27.i    10.+28.i    10.+29.i    10.+30.i    10.+31.i    10.+32.i    10.+33.i    10.+34.i    10.+35.i    10.+36.i    10.+37.i    10.+38.i    10.+39.i    10.+40.i    10.+41.i    10.+42.i    10.+43.i    10.+44.i    10.+45.i    10.+46.i    10.+47.i    10.+48.i    10.+49.i    10.+50.i    10.+51.i    10.+52.i    10.+53.i    10.+54.i    10.+55.i    10.+56.i    10.+57.i    10.+58.i    10.+59.i    10.+60.i    10.+61.i    10.+62.i    10.+63.i    10.+64.i    10.+65.i    10.+66.i    10.+67.i    10.+68.i    10.+69.i    10.+70.i    10.+71.i    10.+72.i    10.+73.i    10.+74.i    10.+75.i    10.+76.i    10.+77.i    10.+78.i    10.+79.i    10.+80.i    10.+81.i    10.+82.i    10.+83.i    10.+84.i    10.+85.i    10.+86.i    10.+87.i    10.+88.i    10.+89.i    10.+90.i    10.+91.i    10.+92.i    10.+93.i    10.+94.i    10.+95.i    10.+96.i    10.+97.i    10.+98.i    10.+99.i    10.+100.i
11.+1.i    11.+2.i    11.+3.i    11.+4.i    11.+5.i    11.+6.i    11.+7.i    11.+8.i    11.+9.i    11.+10.i    11.+11.i    11.+12.i    11.+13.i    11.+14.i    11.+15.i    11.+16.i    11.+17.i    11.+18.i    11.+19.i    11.+20.i    11.+21.i    11.+22.i    11.+23.i    11.+24.i    11.+25.i    11.+26.i    11.+27.i    11.+28.i    11.+29.i    11.+30.i    11.+31.i    11.+32.i    11.+33.i    11.+34.i    11.+35.i    11.+36.i    11.+37.i    11.+38.i    11.+39.i    11.+40.i    11.+41.i    11.+42.i    11.+43.i    11.+44.i    11.+45.i    11.+46.i    11.+47.i    11.+48.i    11.+49.i    11.+50.i    11.+51.i    11.+52.i    11.+53.i    11.+54.i    11.+55.i    11.+56.i    11.+57.i    11.+58.i    11.+59.i    11.+60.i    11.+61.i    11.+62.i    11.+63.i    11.+64.i    11.+65.i    11.+66.i    11.+67.i    11.+68.i    11.+69.i    11.+70.i    11.+71.i    11.+72.i    11.+73.i    11.+74.i    11.+75.i    11.+76.i    11.+77.i    11.+78.i    11.+79.i    11.+80.i    11.+81.i    11.+82.i    11.+83.i    11.+84.i    11.+85.i    11.+86.i    11.+87.i    11.+88.i    11.+89.i    11.+90.i    11.+91.i    11.+92.i    11.+93.i    11.+94.i    11.+95.i    11.+96.i    11.+97.i    11.+98.i    11.+99.i    11.+100.i
