          3.430      -Infinity      -Infinity
          6.860          7.647          5.407
         10.290          3.163          2.237
         13.720          0.418          0.295
         17.150         -1.717         -1.214
         20.580         -3.571         -2.525
         24.010         -5.063         -3.580
         27.440         -6.334         -4.479
         30.870         -7.498         -5.302
         34.300         -8.528         -6.030
         37.730         -9.429         -6.668
         41.160        -10.259         -7.254
         44.590        -11.032         -7.801
         48.020        -11.734         -8.297
         51.450        -12.377         -8.752
         54.880        -12.984         -9.181
         58.310        -13.556         -9.586
         61.740        -14.087         -9.961
         65.170        -14.585        -10.313
         68.600        -15.062        -10.650
         72.030        -15.514        -10.970
         75.460        -15.940        -11.272
         78.890        -16.346        -11.559
         82.320        -16.737        -11.835
         85.750        -17.112        -12.100
         89.180        -17.468        -12.351
         92.610        -17.810        -12.593
         96.040        -18.141        -12.828
         99.470        -18.460        -13.053
        102.900        -18.766        -13.269
        106.330        -19.061        -13.479
        109.760        -19.349        -13.682
        113.190        -19.627        -13.878
        116.620        -19.895        -14.068
        120.050        -20.155        -14.252
        123.480        -20.409        -14.431
        126.910        -20.655        -14.605
        130.340        -20.893        -14.774
        133.770        -21.126        -14.938
        137.200        -21.353        -15.099
        140.630        -21.574        -15.255
        144.060        -21.788        -15.407
        147.490        -21.998        -15.555
        150.920        -22.204        -15.701
        154.350        -22.404        -15.842
        157.780        -22.600        -15.980
        161.210        -22.791        -16.116
        164.640        -22.979        -16.249
        168.070        -23.162        -16.378
        171.500        -23.341        -16.505
        174.930        -23.518        -16.630
        178.360        -23.691        -16.752
        181.790        -23.859        -16.871
        185.220        -24.025        -16.988
        188.650        -24.188        -17.103
        192.080        -24.348        -17.217
        195.510        -24.505        -17.327
        198.940        -24.658        -17.436
        202.370        -24.810        -17.543
        205.800        -24.959        -17.649
        209.230        -25.105        -17.752
        212.660        -25.248        -17.853
        216.090        -25.390        -17.954
        219.520        -25.530        -18.052
        222.950        -25.666        -18.149
        226.380        -25.801        -18.244
        229.810        -25.934        -18.338
        233.240        -26.065        -18.431
        236.670        -26.194        -18.522
        240.100        -26.321        -18.612
        243.530        -26.446        -18.700
        246.960        -26.570        -18.788
        250.390        -26.691        -18.873
        253.820        -26.811        -18.958
        257.250        -26.930        -19.042
        260.680        -27.046        -19.125
        264.110        -27.161        -19.206
        267.540        -27.275        -19.286
        270.970        -27.387        -19.366
        274.400        -27.498        -19.444
        277.830        -27.607        -19.521
        281.260        -27.715        -19.598
        284.690        -27.822        -19.673
        288.120        -27.928        -19.748
        291.550        -28.031        -19.821
        294.980        -28.134        -19.894
        298.410        -28.236        -19.966
        301.840        -28.337        -20.037
        305.270        -28.436        -20.107
        308.700        -28.534        -20.177
        312.130        -28.632        -20.246
        315.560        -28.727        -20.313
        318.990        -28.822        -20.380
        322.420        -28.916        -20.447
        325.850        -29.010        -20.513
        329.280        -29.101        -20.578
        332.710        -29.192        -20.642
        336.140        -29.283        -20.706
        339.570        -29.372        -20.769
        343.000        -29.460        -20.831
        346.430        -29.547        -20.893
        349.860        -29.634        -20.954
        353.290        -29.719        -21.015
        356.720        -29.804        -21.075
        360.150        -29.888        -21.134
        363.580        -29.971        -21.193
        367.010        -30.053        -21.251
        370.440        -30.135        -21.308
        373.870        -30.215        -21.365
        377.300        -30.295        -21.422
        380.730        -30.374        -21.478
        384.160        -30.452        -21.533
        387.590        -30.529        -21.588
        391.020        -30.606        -21.642
        394.450        -30.682        -21.695
        397.880        -30.756        -21.748
        401.310        -30.830        -21.800
        404.740        -30.902        -21.851
        408.170        -30.974        -21.902
        411.600        -31.044        -21.951
        415.030        -31.112        -22.000
        418.460        -31.180        -22.048
        421.890        -31.246        -22.094
        425.320        -31.310        -22.139
        428.750        -31.372        -22.183
        432.180        -31.432        -22.225
        435.610        -31.489        -22.266
        439.040        -31.543        -22.304
        442.470        -31.595        -22.341
        445.900        -31.643        -22.375
        449.330        -31.686        -22.406
        452.760        -31.726        -22.434
        456.190        -31.760        -22.458
        459.620        -31.790        -22.479
        463.050        -31.812        -22.495
        466.480        -31.828        -22.506
        469.910        -31.836        -22.511
        473.340        -31.835        -22.511
        476.770        -31.825        -22.503
        480.200        -31.803        -22.488
        483.630        -31.770        -22.465
        487.060        -31.724        -22.432
        490.490        -31.662        -22.388
        493.920        -31.584        -22.333
        497.350        -31.488        -22.265
        500.780        -31.372        -22.183
        504.210        -31.233        -22.085
        507.640        -31.070        -21.970
        511.070        -30.879        -21.835
        514.500        -30.659        -21.679
        517.930        -30.405        -21.499
        521.360        -30.112        -21.293
        524.790        -29.782        -21.059
        528.220        -29.400        -20.789
        531.650        -28.971        -20.486
        535.080        -28.479        -20.137
        538.510        -27.920        -19.742
        541.940        -27.280        -19.290
        545.370        -26.524        -18.755
        548.800        -25.969        -18.363
        552.230        -24.351        -17.219
        555.660        -20.186        -14.274
        559.090        -20.481        -14.482
        562.520        -32.779        -23.179
        565.950        -25.742        -18.202
        569.380        -36.175        -25.580
        572.810        -26.866        -18.997
        576.240        -30.127        -21.303
        579.670        -27.963        -19.773
        583.100        -26.008        -18.390
        586.530        -29.580        -20.916
        589.960        -23.078        -16.319
        593.390        -21.879        -15.471
        596.820        -24.437        -17.280
        600.250        -26.258        -18.567
        603.680        -31.608        -22.350
        607.110        -25.346        -17.922
        610.540        -28.267        -19.988
        613.970        -22.143        -15.658
        617.400        -24.086        -17.031
        620.830        -29.988        -21.204
        624.260        -27.021        -19.107
        627.690        -27.246        -19.266
        631.120        -21.305        -15.065
        634.550        -31.321        -22.148
        637.980        -26.354        -18.635
        641.410        -23.500        -16.617
        644.840        -26.662        -18.853
        648.270        -24.669        -17.443
        651.700        -23.731        -16.780
        655.130        -23.351        -16.512
        658.560        -24.280        -17.168
        661.990        -29.511        -20.868
        665.420        -21.973        -15.537
        668.850        -29.901        -21.143
        672.280        -23.124        -16.351
        675.710        -27.911        -19.736
        679.140        -24.678        -17.450
        682.570        -24.863        -17.581
        686.000        -28.608        -20.229
        689.430        -22.641        -16.009
        692.860        -30.489        -21.559
        696.290        -22.753        -16.089
        699.720        -29.430        -20.810
        703.150        -22.980        -16.249
        706.580        -28.743        -20.325
        710.010        -24.038        -16.997
        713.440        -25.941        -18.343
        716.870        -25.576        -18.085
        720.300        -25.440        -17.989
        723.730        -22.808        -16.127
        727.160        -30.530        -21.588
        730.590        -21.470        -15.182
        734.020        -30.024        -21.230
        737.450        -23.520        -16.631
        740.880        -25.234        -17.843
        744.310        -25.938        -18.341
        747.740        -25.899        -18.313
        751.170        -24.000        -16.970
        754.600        -27.780        -19.643
        758.030        -23.856        -16.868
        761.460        -24.555        -17.363
        764.890        -27.168        -19.210
        768.320        -22.535        -15.934
        771.750        -30.110        -21.291
        775.180        -22.982        -16.251
